name,value,year,lastValue,rank
Xbox One,NA,2012.6,NA,9
Nintendo Switch,NA,2012.6,NA,10
PlayStation 4,NA,2012.6,NA,11
Nintendo 3DS,13561737,2012.7,13545231,1
PlayStation 3,12028551,2012.7,12024668,2
Xbox 360,10765002,2012.7,10763517,3
Nintendo Wii,5149488,2012.7,5136460,4
Playstation Portable,4297579,2012.7,4292280,5
PlayStation Vita,3758215,2012.7,3741985,6
Nintendo DS,3080220,2012.7,3071738,7
Nintendo Wii U,2246674,2012.7,2233167,8
Xbox One,NA,2012.7,NA,9
Nintendo Switch,NA,2012.7,NA,10
PlayStation 4,NA,2012.7,NA,11
Nintendo 3DS,13564579,2012.8,13561737,1
PlayStation 3,12042354,2012.8,12028551,2
Xbox 360,10767152,2012.8,10765002,3
Nintendo Wii,5153972,2012.8,5149488,4
Playstation Portable,4307648,2012.8,4297579,5
PlayStation Vita,3777514,2012.8,3758215,6
Nintendo DS,3081398,2012.8,3080220,7
Nintendo Wii U,2263195,2012.8,2246674,8
Xbox One,NA,2012.8,NA,9
Nintendo Switch,NA,2012.8,NA,10
PlayStation 4,NA,2012.8,NA,11
Nintendo 3DS,13576367,2012.9,13564579,1
PlayStation 3,12047998,2012.9,12042354,2
Xbox 360,10782851,2012.9,10767152,3
Nintendo Wii,5169867,2012.9,5153972,4
Playstation Portable,4308822,2012.9,4307648,5
PlayStation Vita,3793133,2012.9,3777514,6
Nintendo DS,3087426,2012.9,3081398,7
Nintendo Wii U,2270454,2012.9,2263195,8
Xbox One,NA,2012.9,NA,9
Nintendo Switch,NA,2012.9,NA,10
PlayStation 4,NA,2012.9,NA,11
Nintendo 3DS,14310000,2013,13576367,1
PlayStation 3,8260000,2013,12047998,2
Xbox 360,6240000,2013,10782851,3
PlayStation 4,4490000,2013,NA,4
PlayStation Vita,3400000,2013,3793133,5
Nintendo Wii U,3100000,2013,2270454,6
Xbox One,3080000,2013,NA,7
Playstation Portable,2970000,2013,4308822,8
Nintendo Wii,1950000,2013,5169867,9
Nintendo DS,820000,2013,3087426,10
Nintendo Switch,NA,2013,NA,11
Nintendo 3DS,14324839,2013.1,14310000,1
PlayStation 3,8261760,2013.1,8260000,2
Xbox 360,6247327,2013.1,6240000,3
PlayStation 4,4503370,2013.1,4490000,4
PlayStation Vita,3407497,2013.1,3400000,5
Nintendo Wii U,3112650,2013.1,3100000,6
Xbox One,3096253,2013.1,3080000,7
Playstation Portable,2973122,2013.1,2970000,8
Nintendo Wii,1965496,2013.1,1950000,9
Nintendo DS,826379,2013.1,820000,10
Nintendo Switch,NA,2013.1,NA,11
Nintendo 3DS,14326856,2013.2,14324839,1
PlayStation 3,8264456,2013.2,8261760,2
Xbox 360,6265879,2013.2,6247327,3
PlayStation 4,4520951,2013.2,4503370,4
PlayStation Vita,3414955,2013.2,3407497,5
Nintendo Wii U,3116705,2013.2,3112650,6
Xbox One,3112158,2013.2,3096253,7
Playstation Portable,2979511,2013.2,2973122,8
Nintendo Wii,1972963,2013.2,1965496,9
Nintendo DS,841497,2013.2,826379,10
Nintendo Switch,NA,2013.2,NA,11
Nintendo 3DS,14338449,2013.3,14326856,1
PlayStation 3,8279467,2013.3,8264456,2
Xbox 360,6283798,2013.3,6265879,3
PlayStation 4,4524967,2013.3,4520951,4
PlayStation Vita,3428092,2013.3,3414955,5
Nintendo Wii U,3118947,2013.3,3116705,6
Xbox One,3112479,2013.3,3112158,7
Playstation Portable,2992926,2013.3,2979511,8
Nintendo Wii,1975666,2013.3,1972963,9
Nintendo DS,843437,2013.3,841497,10
Nintendo Switch,NA,2013.3,NA,11
Nintendo 3DS,14358008,2013.4,14338449,1
PlayStation 3,8298631,2013.4,8279467,2
Xbox 360,6292660,2013.4,6283798,3
PlayStation 4,4528576,2013.4,4524967,4
PlayStation Vita,3431790,2013.4,3428092,5
Nintendo Wii U,3126595,2013.4,3118947,6
Xbox One,3126004,2013.4,3112479,7
Playstation Portable,2996784,2013.4,2992926,8
Nintendo Wii,1991186,2013.4,1975666,9
Nintendo DS,856852,2013.4,843437,10
Nintendo Switch,NA,2013.4,NA,11
Nintendo 3DS,14370727,2013.5,14358008,1
PlayStation 3,8307666,2013.5,8298631,2
Xbox 360,6311087,2013.5,6292660,3
PlayStation 4,4528953,2013.5,4528576,4
PlayStation Vita,3434133,2013.5,3431790,5
Nintendo Wii U,3143582,2013.5,3126595,6
Xbox One,3129159,2013.5,3126004,7
Playstation Portable,3011010,2013.5,2996784,8
Nintendo Wii,1993144,2013.5,1991186,9
Nintendo DS,858433,2013.5,856852,10
Nintendo Switch,NA,2013.5,NA,11
Nintendo 3DS,14384546,2013.6,14370727,1
PlayStation 3,8327270,2013.6,8307666,2
Xbox 360,6316606,2013.6,6311087,3
PlayStation 4,4548148,2013.6,4528953,4
PlayStation Vita,3442982,2013.6,3434133,5
Xbox One,3147274,2013.6,3129159,6
Nintendo Wii U,3145654,2013.6,3143582,7
Playstation Portable,3025391,2013.6,3011010,8
Nintendo Wii,2010689,2013.6,1993144,9
Nintendo DS,864576,2013.6,858433,10
Nintendo Switch,NA,2013.6,NA,11
Nintendo 3DS,14397441,2013.7,14384546,1
PlayStation 3,8339838,2013.7,8327270,2
Xbox 360,6334803,2013.7,6316606,3
PlayStation 4,4551177,2013.7,4548148,4
PlayStation Vita,3443096,2013.7,3442982,5
Nintendo Wii U,3164988,2013.7,3145654,6
Xbox One,3162592,2013.7,3147274,7
